Category,Test Case,Description,Steps to Test,Expected Result,Priority,Status
History,Sorting,Verify logs are sorted by date,"1. Navigate to /history with multiple logs",Most recent workouts appear first,Medium,Pass
Sidebar,Navigation,Verify sidebar navigation works,"1. Sign in
2. Click each navigation link (Dashboard, Generator, Saved, History)",Each link navigates to correct page and highlights active state,High,Pass
Sidebar,Active State,Verify active page highlighting,"1. Navigate to different pages
2. Check sidebar",Current page link is highlighted in orange with zinc-900 background,Medium,Pass
Sidebar,User Profile,Verify user profile displays in sidebar,"1. Sign in
2. Check bottom of sidebar",Shows user avatar, display name, and sign out button,Medium,Pass
Sidebar,Logo,Verify logo displays correctly,"1. Sign in
2. Check top of sidebar",FitTracker Pro logo and text display,Low,Pass
Mobile,Mobile Header,Verify mobile header displays on small screens,"1. Resize to mobile width (<768px)
2. Check header",Mobile header shows with logo and menu button,High,Pass
Mobile,Mobile Navigation,Verify mobile bottom navigation works,"1. Resize to mobile width
2. Check bottom navigation
3. Click navigation items",Bottom nav shows all pages, navigates correctly, highlights active page,High,Pass
Mobile,Mobile CTA,Verify mobile floating CTA on dashboard,"1. Sign in on mobile
2. Navigate to dashboard",Floating 'Generate Workout' button appears at bottom,Medium,Pass
Mobile,Responsive Layout,Verify all pages adapt to mobile,"1. Navigate through all pages on mobile
2. Check layouts",All content is readable and accessible, no horizontal scroll,High,Pass
Mobile,Touch Interactions,Verify touch interactions work,"1. Use mobile device or touch emulation
2. Test all interactive elements",Buttons, links, and selectors respond to touch,Medium,Pass
Styling,Theme Consistency,Verify orange/black/mono theme throughout,"1. Navigate through all pages
2. Check color usage",Consistent use of #FF4B00 orange, black backgrounds, monospace font,High,Pass
Styling,Font Loading,Verify Space Mono font loads correctly,"1. Navigate to any page
2. Check font rendering",Space Mono font is used throughout the app,Medium,Pass
Styling,Selection Color,Verify text selection styling,"1. Select text on any page",Selected text shows orange background (#FF4B00) with white text,Low,Pass
Styling,Hover States,Verify hover states on interactive elements,"1. Hover over buttons, links, cards
2. Check visual feedback",All interactive elements show appropriate hover states,Medium,Pass
Styling,Transitions,Verify smooth transitions,"1. Interact with various UI elements
2. Observe animations",Transitions are smooth and enhance UX (not jarring),Low,Pass
API,Stats Endpoint,Verify /api/stats returns correct data,"1. Sign in
2. Check network tab for /api/stats call",Returns stats object with correct workout counts and muscle data,High,Pass
API,Workouts Endpoint,Verify /api/workouts CRUD operations,"1. Create, read, update, delete workouts
2. Check network responses",All operations succeed with appropriate status codes,High,Pass
API,Generate Endpoint,Verify /api/workouts/generate works,"1. Generate a workout
2. Check network tab",Returns generated workout with exercises or falls back to heuristic,High,Pass
API,History Endpoint,Verify /api/history operations,"1. Complete workouts
2. Check network tab for /api/history calls",Returns workout logs, POST creates new logs,High,Pass
API,Error Handling,Verify API error responses,"1. Trigger API errors (network issues, invalid data)
2. Check error messages",Appropriate error messages display to user,Medium,Pass
API,Authentication,Verify API endpoints require authentication,"1. Sign out
2. Try to call API endpoints directly",Endpoints return 401 Unauthorized for unauthenticated requests,High,Pass
Database,Data Persistence,Verify data persists across sessions,"1. Create workouts and logs
2. Sign out and sign back in
3. Check data",All saved workouts and history persist correctly,High,Pass
Database,User Isolation,Verify users only see their own data,"1. Sign in with User A, create data
2. Sign out, sign in with User B
3. Check data visibility",Each user only sees their own workouts and history,High,Pass
Database,Muscle Data,Verify muscle data is stored correctly,"1. Create workouts with various muscles
2. Check database or dashboard heatmap",Muscle groups are stored as arrays and retrieved correctly,Medium,Pass
Performance,Page Load Time,Verify pages load quickly,"1. Navigate to each page
2. Measure load time",Pages load within 2-3 seconds on average connection,Medium,Pass
Performance,Build Success,Verify production build completes,"1. Run 'npm run build'
2. Check for errors",Build completes successfully with no errors,High,Pass
Performance,Image Optimization,Verify images are optimized,"1. Check network tab for image loads
2. Verify Next.js Image component usage",Images use Next.js Image component and load efficiently,Low,Pass
Accessibility,Keyboard Navigation,Verify keyboard navigation works,"1. Use Tab key to navigate
2. Use Enter/Space to activate elements",All interactive elements are keyboard accessible,Medium,Pass
Accessibility,Screen Reader,Verify screen reader compatibility,"1. Use screen reader (NVDA, JAWS, VoiceOver)
2. Navigate through pages",Content is properly announced and navigable,Low,Not Tested
Accessibility,Color Contrast,Verify sufficient color contrast,"1. Check text on backgrounds
2. Use contrast checker tool",All text meets WCAG AA standards (4.5:1 for normal text),Medium,Pass
Accessibility,Alt Text,Verify images have alt text,"1. Check all images
2. Verify alt attributes",All images have descriptive alt text,Low,Pass
Edge Cases,Long Workout Names,Verify handling of long workout names,"1. Create workout with very long name (100+ chars)
2. Check display",Long names truncate or wrap appropriately without breaking layout,Low,Pass
Edge Cases,No Equipment Selected,Verify equipment validation,"1. Try to deselect all equipment
2. Attempt to generate",At least one equipment option must remain selected,Low,Pass
Edge Cases,Maximum Duration,Verify duration limits,"1. Try to set duration beyond max (120 min)
2. Check slider behavior",Slider caps at maximum value,Low,Pass
Edge Cases,Concurrent Users,Verify multiple users can use app simultaneously,"1. Sign in with multiple accounts
2. Perform actions simultaneously",Each user's data remains isolated and correct,Low,Pass
Error Handling,Network Failure,Verify graceful handling of network errors,"1. Disable network
2. Try to perform actions",User-friendly error messages display, app doesn't crash,Medium,Pass
Error Handling,Invalid Data,Verify handling of corrupted data,"1. Manually corrupt data (if possible)
2. Try to load pages",App handles invalid data gracefully with fallbacks,Low,Pass
Error Handling,API Timeout,Verify timeout handling,"1. Simulate slow API responses
2. Check user feedback",Loading states show, timeouts are handled appropriately,Low,Pass
Security,XSS Prevention,Verify protection against XSS attacks,"1. Try to inject scripts in input fields
2. Check if scripts execute",Scripts are sanitized and do not execute,High,Pass
Security,SQL Injection,Verify protection against SQL injection,"1. Try SQL injection patterns in inputs
2. Check database queries",Parameterized queries prevent SQL injection,High,Pass
Security,API Key Security,Verify Gemini API key is not exposed,"1. Check client-side code and network requests
2. Verify API key usage",API key is only used server-side, never exposed to client,High,Pass
Security,HTTPS,Verify app uses HTTPS in production,"1. Deploy to production
2. Check URL protocol",App uses HTTPS for all connections,High,Not Tested - Requires Production Deployment
